Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR18490938,WGS,300,6726148200,PRJNA820119,SAMN26980222,Metagenome or environmental,2191576930,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14622748,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.180 E,META20IMWJ27_TD78,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:23:00Z,1,META20IMWJ27_TD78,SRP366030
SRR18490939,WGS,300,8870760000,PRJNA820119,SAMN26980079,Metagenome or environmental,2899267967,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14622789,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,fecal samples,39.3 N 116.37 E,META20IMWJ28_CD35,PAIRED,RANDOM,METAGENOMIC,gut metagenome,ILLUMINA,2022-03-25T00:00:00Z,2022-03-25T23:33:00Z,1,META20IMWJ28_CD35,SRP366030
SRR18490940,WGS,8521,4376833763,PRJNA820119,SAMN26980384,Metagenome or environmental,3992585823,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14622788,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.342 E,TD40,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:24:00Z,1,TD40,SRP366030
SRR18490941,WGS,9925,5835511855,PRJNA820119,SAMN26980383,Metagenome or environmental,5294079141,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14622787,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.341 E,TD39,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-26T00:00:00Z,2022-03-25T23:31:00Z,1,TD39,SRP366030
SRR18490942,WGS,10013,4446429888,PRJNA820119,SAMN26980382,Metagenome or environmental,4055420927,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14622786,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.340 E,TD38,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:26:00Z,1,TD38,SRP366030
SRR18490943,WGS,9430,4738420027,PRJNA820119,SAMN26980381,Metagenome or environmental,4320951023,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX14622785,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.339 E,TD37,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:22:00Z,1,TD37,SRP366030
SRR18490944,WGS,9246,4353171972,PRJNA820119,SAMN26980380,Metagenome or environmental,3970207026,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX14622784,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.338 E,TD36,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:22:00Z,1,TD36,SRP366030
SRR18490945,WGS,8989,4978064022,PRJNA820119,SAMN26980379,Metagenome or environmental,4539793766,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX14622783,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.337 E,TD35,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:23:00Z,1,TD35,SRP366030
SRR18490946,WGS,10151,4593860870,PRJNA820119,SAMN26980378,Metagenome or environmental,4188503994,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14622782,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.336 E,TD34,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:29:00Z,1,TD34,SRP366030
SRR18490947,WGS,9940,6287400623,PRJNA820119,SAMN26980377,Metagenome or environmental,5702814144,"INSTITUTE OF MICROBIOLOGY, CHINESE ACADEMY OF SCIENCES",2019-11,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX14622781,China,Asia,China: Beijing,Homo sapiens,PromethION,fecal samples,39.3 N 116.335 E,TD33,SINGLE,RANDOM,METAGENOMIC,gut metagenome,OXFORD_NANOPORE,2022-03-25T00:00:00Z,2022-03-25T23:25:00Z,1,TD33,SRP366030
