Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,sample_name,sequencing_method,SRA Study,Submitter_Id
ERR688358,WGS,79,62474530,PRJEB7774,SAMEA3136748,67759506,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633359,SAMEA3136748,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021650-108,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136748,31004,Illumina,ERP008729,31004
ERR688359,WGS,88,102874412,PRJEB7774,SAMEA3136648,100769689,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633360,SAMEA3136648,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022053-133,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136648,31009,Illumina,ERP008729,31009
ERR688360,WGS,88,98141619,PRJEB7774,SAMEA3136638,94869369,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633361,SAMEA3136638,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022043-90,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136638,31021,Illumina,ERP008729,31021
ERR688361,WGS,88,71112063,PRJEB7774,SAMEA3136703,69056250,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633362,SAMEA3136703,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021937-109,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136703,31030,Illumina,ERP008729,31030
ERR688362,WGS,89,82353944,PRJEB7774,SAMEA3136670,79486250,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633363,SAMEA3136670,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022073-62,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136670,31071,Illumina,ERP008729,31071
ERR688363,WGS,90,118458156,PRJEB7774,SAMEA3136657,112830607,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633364,SAMEA3136657,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022084-20,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136657,31112,Illumina,ERP008729,31112
ERR688364,WGS,91,75399723,PRJEB7774,SAMEA3136660,69236020,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633365,SAMEA3136660,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022081-26,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136660,31129,Illumina,ERP008729,31129
ERR688365,WGS,90,85463912,PRJEB7774,SAMEA3136712,81622814,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633366,SAMEA3136712,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021945-158,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136712,31137,Illumina,ERP008729,31137
ERR688366,WGS,82,76916703,PRJEB7774,SAMEA3136769,80882220,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633367,SAMEA3136769,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021669-24,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136769,31159,Illumina,ERP008729,31159
ERR688367,WGS,85,72052894,PRJEB7774,SAMEA3136630,71009912,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633368,SAMEA3136630,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021961-43,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136630,31160,Illumina,ERP008729,31160
ERR688368,WGS,81,67929666,PRJEB7774,SAMEA3136751,72770611,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633369,SAMEA3136751,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021653-113,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136751,31188,Illumina,ERP008729,31188
ERR688369,WGS,88,57139005,PRJEB7774,SAMEA3136634,55285909,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633370,SAMEA3136634,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021965-84,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136634,31219,Illumina,ERP008729,31219
ERR688370,WGS,84,83075106,PRJEB7774,SAMEA3136738,83604830,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633371,SAMEA3136738,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021638-43,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136738,31223,Illumina,ERP008729,31223
ERR688371,WGS,87,80106953,PRJEB7774,SAMEA3136674,78139766,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633372,SAMEA3136674,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022077-90,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136674,31232,Illumina,ERP008729,31232
ERR688372,WGS,88,72926587,PRJEB7774,SAMEA3136714,70361224,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633373,SAMEA3136714,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021947-169,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136714,31233,Illumina,ERP008729,31233
ERR688373,WGS,88,70438868,PRJEB7774,SAMEA3136663,67024656,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-03-05,2015-03-05,2018-11-16,2016-10-21,human gut,human-associated habitat,faeces,ERX633374,SAMEA3136663,Austria,Europe,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022067-33,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,SAMEA3136663,31236,Illumina,ERP008729,31236
