id	theta	r	color	phy
s__Clostridium nigeriense	0	0	#1B9E77	p__Firmicutes_A
s__Mt11 sp001282665	0.02362099739541198	20	#1B9E77	p__Firmicutes_A
s__Flavonifractor sp900199495	0.04724199479082396	40	#1B9E77	p__Firmicutes_A
s__Clostridium_P mediterraneense	0.07086299218623593	60	#1B9E77	p__Firmicutes_A
s__CAG-841 sp002479075	0.09448398958164791	80	#1B9E77	p__Firmicutes_A
s__Terrisporobacter othiniensis	0.1181049869770599	100	#1B9E77	p__Firmicutes_A
s__Clostridium_H massiliodielmoense	0.14172598437247186	120	#1B9E77	p__Firmicutes_A
s__GCA-900066935 sp900066925	0.16534698176788384	140	#1B9E77	p__Firmicutes_A
s__Clostridium_AA polynesiense	0.18896797916329583	160	#1B9E77	p__Firmicutes_A
s__Clostridium_P sp001403635	0.21258897655870782	180	#1B9E77	p__Firmicutes_A
s__Sedimentibacter sp003457065	0.2362099739541198	200	#1B9E77	p__Firmicutes_A
s__Romboutsia dakarense	0.25983097134953176	220	#1B9E77	p__Firmicutes_A
s__Dorea hylemonae	0.2834519687449437	240	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_A sp900099555	0.30707296614035573	260	#1B9E77	p__Firmicutes_A
s__Anaerococcus prevotii_A	0.311467570306944	140	#1B9E77	p__Firmicutes_A
s__Anaerococcus senegalensis	0.31154180348543364	120	#1B9E77	p__Firmicutes_A
s__Anaerococcus octavius	0.31463168530688757	160	#1B9E77	p__Firmicutes_A
s__Lagierella massiliensis	0.32078838398285303	100	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_A grossensis_B	0.3247887141869147	180	#1B9E77	p__Firmicutes_A
s__Clostridium_P ventriculi	0.3306939635357677	280	#1B9E77	p__Firmicutes_A
s__Levyella massiliensis	0.33755167245701634	200	#1B9E77	p__Firmicutes_A
s__Ezakiella coagulans	0.3458114018688314	80	#1B9E77	p__Firmicutes_A
s__Anaerococcus rubeinfantis	0.35089162797532286	220	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_A harei	0.3543149609311797	300	#1B9E77	p__Firmicutes_A
s__Clostridium_J sp000821305	0.36722777284067154	240	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_B sp000478985	0.37793595832659166	320	#1B9E77	p__Firmicutes_A
s__Anaerococcus lactolyticus	0.3846431551178815	260	#1B9E77	p__Firmicutes_A
s__Clostridium_F tepidum	0.4015569557220036	340	#1B9E77	p__Firmicutes_A
s__Anaerococcus sp002359915	0.40291448430794685	280	#1B9E77	p__Firmicutes_A
s__UBA1375 sp002305795	0.4199288425851018	60	#1B9E77	p__Firmicutes_A
s__Clostridium_U hiranonis	0.4211573578160689	300	#1B9E77	p__Firmicutes_A
s__Anaerococcus sp900258475	0.42517795311741563	360	#1B9E77	p__Firmicutes_A
s__Clostridium_F botulinum_A	0.4369884518151216	180	#1B9E77	p__Firmicutes_A
s__Finegoldia magna_F	0.4388933709599129	200	#1B9E77	p__Firmicutes_A
s__Finegoldia magna	0.4402953914504793	160	#1B9E77	p__Firmicutes_A
s__Robinsoniella peoriensis	0.4407678113983875	320	#1B9E77	p__Firmicutes_A
s__UBA2882 sp002362385	0.44195228460111396	220	#1B9E77	p__Firmicutes_A
s__Anaerosporobacter mobilis	0.4487989505128276	380	#1B9E77	p__Firmicutes_A
s__UBA11517 sp003522085	0.45100357693639936	240	#1B9E77	p__Firmicutes_A
s__Kallipyga massiliensis	0.4575881588460041	140	#1B9E77	p__Firmicutes_A
s__Anaerococcus sp001182725	0.4608322888086035	340	#1B9E77	p__Firmicutes_A
s__UBA11475 sp003538975	0.46221334409540726	260	#1B9E77	p__Firmicutes_A
s__CAG-552 sp000435495	0.4724199479082396	400	#1B9E77	p__Firmicutes_A
s__UCG-010 sp003150115	0.47513500508012596	280	#1B9E77	p__Firmicutes_A
s__Blautia_A hydrogenotrophica	0.4807813629154651	360	#1B9E77	p__Firmicutes_A
s__Dorea phocaeense	0.48135762259839543	120	#1B9E77	p__Firmicutes_A
s__Anaerosalibacter_A massiliensis	0.48799975470095813	300	#1B9E77	p__Firmicutes_A
s__Clostridium_P perfringens	0.49604094530365156	420	#1B9E77	p__Firmicutes_A
s__Terrisporobacter glycolicus_A	0.5015988270437485	380	#1B9E77	p__Firmicutes_A
s__CAG-465 sp000433335	0.5035996644701835	320	#1B9E77	p__Firmicutes_A
s__Peptostreptococcus russellii	0.5201076218952033	340	#1B9E77	p__Firmicutes_A
s__Fenollaria timonensis	0.5226854303656763	400	#1B9E77	p__Firmicutes_A
s__Clostridium_E jeddahense	0.5234717809886461	100	#1B9E77	p__Firmicutes_A
s__CAG-269 sp000437215	0.5330129412269051	220	#1B9E77	p__Firmicutes_A
s__Paeniclostridium sordellii	0.5347793810321271	240	#1B9E77	p__Firmicutes_A
s__Clostridium tertium	0.5363847727135145	360	#1B9E77	p__Firmicutes_A
s__GCA-900066905 sp900066905	0.539783533072933	260	#1B9E77	p__Firmicutes_A
s__Clostridium_E sporosphaeroides	0.5402350694628095	200	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_A phoceensis	0.544004191923343	420	#1B9E77	p__Firmicutes_A
s__Faecalicatena contorta_B	0.5473555258523051	280	#1B9E77	p__Firmicutes_A
s__Clostridium_B tyrobutyricum	0.5491881894433285	180	#1B9E77	p__Firmicutes_A
s__Clostridium_E merdae	0.5543987035746694	380	#1B9E77	p__Firmicutes_A
s__Clostridium septicum	0.5548421515858474	300	#1B9E77	p__Firmicutes_A
s__Clostridium paraputrificum	0.565959097594071	160	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_A rhinitidis	0.5664315175419793	320	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_B duerdenii	0.5708407703891227	40	#1B9E77	p__Firmicutes_A
s__Anaerotruncus rubiinfantis	0.572950912823113	400	#1B9E77	p__Firmicutes_A
s__UBA1691 sp002320555	0.5793829549818033	340	#1B9E77	p__Firmicutes_A
s__UBA1409 sp002338885	0.5919674385430346	420	#1B9E77	p__Firmicutes_A
s__Lachnoanaerobaculum sp000296385	0.5919881825115639	360	#1B9E77	p__Firmicutes_A
s__Paraclostridium massiliensis	0.5971388141560149	80	#1B9E77	p__Firmicutes_A
s__UBA1409 sp002491605	0.6037087473850643	140	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_A senegalensis	0.6071985801055902	380	#1B9E77	p__Firmicutes_A
s__Blautia hominis	0.6173537220504588	260	#1B9E77	p__Firmicutes_A
s__Oribacterium sinus	0.618555185127855	240	#1B9E77	p__Firmicutes_A
s__S5-A14a sp000758905	0.6195760466244843	280	#1B9E77	p__Firmicutes_A
s__Pseudobutyrivibrio fibrisolvens	0.6216845484707365	300	#1B9E77	p__Firmicutes_A
s__CAG-1138 sp000434675	0.6232163952805496	400	#1B9E77	p__Firmicutes_A
s__An172 sp002160515	0.6240735978526961	220	#1B9E77	p__Firmicutes_A
s__CAG-448 sp000433415	0.6292633706137751	320	#1B9E77	p__Firmicutes_A
s__UBA644 sp002299265	0.6386582880684031	340	#1B9E77	p__Firmicutes_A
s__CAG-791 sp900315055	0.639930685162726	420	#1B9E77	p__Firmicutes_A
s__UCG-010 sp003150215	0.6415767679657061	200	#1B9E77	p__Firmicutes_A
s__Negativibacillus sp000435195	0.6475915923096134	360	#1B9E77	p__Firmicutes_A
s__QALW01 sp003150515	0.6511734417113573	120	#1B9E77	p__Firmicutes_A
s__CAG-110 sp000435995	0.6599984566365111	380	#1B9E77	p__Firmicutes_A
s__Provencibacterium massiliense	0.6613879270715354	180	#1B9E77	p__Firmicutes_A
s__CAG-452 sp000434035	0.6734818777379864	400	#1B9E77	p__Firmicutes_A
s__UBA11512 sp003522145	0.6878939317824175	420	#1B9E77	p__Firmicutes_A
s__UC5-1-2E3 sp001304875	0.6885269453556258	300	#1B9E77	p__Firmicutes_A
s__CAG-1435 sp003537755	0.6916228037376628	160	#1B9E77	p__Firmicutes_A
s__UBA4877 sp002399345	0.6917965673966635	280	#1B9E77	p__Firmicutes_A
s__Lachnoanaerobaculum saburreum_A	0.692095223685571	320	#1B9E77	p__Firmicutes_A
s__CAG-793 sp000433915	0.6949239110279846	260	#1B9E77	p__Firmicutes_A
s__CAG-273 sp000438355	0.6979336211550029	340	#1B9E77	p__Firmicutes_A
s__QAMX01 sp003149835	0.7023309892235827	240	#1B9E77	p__Firmicutes_A
s__Clostridium celatum	0.7031950021076628	360	#1B9E77	p__Firmicutes_A
s__Peptoniphilus_E obesi	0.7127983331674321	380	#1B9E77	p__Firmicutes_A
s__Finegoldia magna_H	0.7151342544784873	220	#1B9E77	p__Firmicutes_A
s__Peptostreptococcus stomatis	0.7237473601954231	400	#1B9E77	p__Firmicutes_A
s__Lachnoanaerobaculum umeaense	0.7261551779944393	100	#1B9E77	p__Firmicutes_A
s__Varibaculum_A timonense	0.7358571784021091	420	#1B9E77	p__Firmicutes_A
s__Fenollaria massiliensis	0.7429184664686026	200	#1B9E77	p__Firmicutes_A
s__CAG-492 sp000434335	0.7498293359241245	140	#1B9E77	p__Firmicutes_A
s__CAG-390 sp003523225	0.7549270767573668	320	#1B9E77	p__Firmicutes_A
s__UBA7597 sp003448195	0.755369342240515	300	#1B9E77	p__Firmicutes_A
s__Stomatobaculum sp002892395	0.7572089542416028	340	#1B9E77	p__Firmicutes_A
s__CAG-269 sp001916005	0.7587984119057123	360	#1B9E77	p__Firmicutes_A
s__Peptostreptococcus sp000758885	0.7640170881688426	280	#1B9E77	p__Firmicutes_A
s__Dorea sp001185345	0.7655982096983529	380	#1B9E77	p__Firmicutes_A
s__Anaerotruncus sp900199635	0.7689946929839677	60	#1B9E77	p__Firmicutes_A
s__QALS01 sp003150575	0.7724941000055102	260	#1B9E77	p__Firmicutes_A
